"Mean_Minor","Mean_Round","SD_Round","Mean_variance_R","SD_median_R","SD_inertia_R","Mean_kurtosis_G","SD_variance_G","SD_kurtosis_G","SD_HGLRE_G","SD_SRHGLE_G","SD_LRHGLE_G","Mean_IDM_B","SD_entropy_B","SD_haraCorr_B","SD_IDM_B","SD_IDM_HSV","Mean_GLN_Lab","Mean_LGLRE_Lab","Mean_SRLGLE_Lab","Mean_LRLGLE_Lab","Mean_GLN_Luv","Mean_LGLRE_Luv","Mean_SRLGLE_Luv","Mean_LRLGLE_Luv","Mean_GLN_HE","Mean_skewness_BR","Mean_correlation_BR","Class"
22.67549886,0.696838514,0.151673989,946.4923014,28.90230504,176.5922124,0.077050174,493.6746403,0.816822933,3820.482313,3820.482313,3820.482313,0.09456781,0.518861263,38924592.78,0.01691802,0.017456144,8.380449552,0.000890825,0.000890825,0.000890825,8.380449552,0.000890825,0.000890825,0.000890825,12.08966487,0,0,"DCIS"
21.27189995,0.69561769,0.137683021,836.347575,21.41969319,155.7744758,-0.235265124,251.5126979,0.471523138,2255.618372,2255.618372,2255.618372,0.080197039,0.468470958,32935299.28,0.01377872,0.013594497,7.804511929,0.000792449,0.000792449,0.000792449,7.804511929,0.000792449,0.000792449,0.000792449,9.452642205,0.338846547,3.88e-06,"DCIS"
23.17376816,0.734503724,0.149619139,814.2420697,28.5302676,164.7169504,-0.091776855,298.0310168,0.589760647,2539.186435,2539.186435,2539.186435,0.100009799,0.524084118,27486813.42,0.018115417,0.017726135,9.098989236,0.001103959,0.001103959,0.001103959,9.098989236,0.001103959,0.001103959,0.001103959,11.84415669,0.00546342,2.33e-07,"DCIS"
20.92032865,0.704693229,0.139817851,882.923455,22.46543859,118.7563006,-0.230610012,245.8866714,0.560197164,1788.294915,1788.294915,1788.294915,0.086904239,0.467328969,31853326.67,0.013031219,0.013419424,7.46734742,0.001153283,0.001153283,0.001153283,7.46734742,0.001153283,0.001153283,0.001153283,8.812967271,0.614779615,9.07e-06,"DCIS"
20.16838585,0.657441877,0.160946652,785.4408322,27.81478649,146.8507389,-0.241867784,326.0285402,0.625053173,2763.836637,2763.836637,2763.836637,0.09527403,0.44153754,30342852.38,0.015346786,0.015870065,7.667721403,0.001160882,0.001160882,0.001160882,7.667721403,0.001160882,0.001160882,0.001160882,9.565472006,0,0,"UDH"
22.10125031,0.654614232,0.161340461,920.9011772,22.73381831,125.7496512,-0.328557704,294.2336672,0.492016849,2624.271771,2624.271771,2624.271771,0.097216989,0.501472099,32027096.19,0.013060303,0.013524476,9.547683798,0.000939392,0.000939392,0.000939392,9.547683798,0.000939392,0.000939392,0.000939392,12.22763996,0.180209318,2.78e-06,"UDH"
24.50799039,0.653601235,0.159269739,664.3765841,27.34452917,141.4426309,0.123254918,294.4219542,0.778568847,2866.509073,2866.509073,2866.509073,0.100927535,0.579465443,31478091.96,0.015829344,0.015996047,13.81250663,0.00116971,0.00116971,0.00116971,13.81250663,0.00116971,0.00116971,0.00116971,16.90082385,0.056295484,8.44e-07,"DCIS"
22.32619812,0.6515585,0.155642693,803.2850186,28.03011998,147.6749833,-0.29647706,320.3084509,0.558768896,3169.836642,3169.836642,3169.836642,0.100205803,0.511241935,36632328.34,0.015442678,0.015999838,10.23774165,0.000906505,0.000906505,0.000906505,10.23774165,0.000906505,0.000906505,0.000906505,12.36016276,0.0747171,1.09e-06,"UDH"
25.02234827,0.683163295,0.16204669,854.2899152,21.79725578,101.7856136,-0.375156697,282.0413176,0.432348098,2146.548406,2146.548406,2146.548406,0.088553628,0.657076977,42197783.77,0.014549087,0.014855819,10.11397352,0.001344959,0.001344959,0.001344959,10.11397352,0.001344959,0.001344959,0.001344959,12.76333634,0.844825347,1.74e-05,"DCIS"
18.61700098,0.626074598,0.153605776,772.503815,23.8113518,163.376107,-0.298240078,294.1522956,0.55987108,2298.458805,2298.458805,2298.458805,0.094821338,0.441685534,28557128.05,0.014333324,0.015134586,7.280248447,0.001031345,0.001031345,0.001031345,7.280248447,0.001031345,0.001031345,0.001031345,9.260879297,0.064592438,8.8e-07,"UDH"
